id_grupo,id_curso,id_periodo,id_sede,id_docente,id_modalidad,id_horario,numero_grupo,capacidad_corte
96,2,2,2,13,3,3,3,10
97,2,2,3,11,1,1,1,14
98,2,2,3,3,2,2,2,10
99,2,2,3,13,3,3,3,14
100,3,2,1,7,1,1,1,5
101,3,2,1,4,3,2,2,10
102,3,2,1,7,2,3,3,14
103,3,2,2,2,2,1,1,10
104,3,2,2,11,1,2,2,18
105,3,2,2,4,2,3,3,10
106,3,2,3,14,1,1,1,10
107,3,2,3,17,3,2,2,10
108,3,2,3,12,1,3,3,10
109,4,2,1,6,2,1,1,5
110,4,2,1,15,3,2,2,10
111,4,2,1,1,1,3,3,14
112,4,2,2,2,1,1,1,14
113,4,2,2,18,1,2,2,18
114,4,2,2,3,2,3,3,10
115,4,2,3,5,2,1,1,18
116,4,2,3,18,2,2,2,14
117,4,2,3,10,1,3,3,14
118,5,2,1,9,1,1,1,5
119,5,2,1,3,3,2,2,10
120,5,2,1,15,3,3,3,10
121,5,2,2,16,1,1,1,10
122,5,2,2,14,3,2,2,10
123,5,2,2,12,2,3,3,18
124,5,2,3,4,1,1,1,18
125,5,2,3,9,1,2,2,10
126,5,2,3,7,3,3,3,14
127,6,2,1,5,2,1,1,5
128,6,2,1,1,2,2,2,18
129,6,2,1,2,2,3,3,10
130,6,2,2,5,1,1,1,14
131,6,2,2,1,2,2,2,14
132,6,2,2,3,1,3,3,18
133,6,2,3,17,3,1,1,14
134,6,2,3,10,1,2,2,14
135,6,2,3,16,1,3,3,10
136,7,2,1,3,2,1,1,5
137,7,2,1,7,1,2,2,18
138,7,2,1,15,3,3,3,14
139,7,2,2,1,3,1,1,10
140,7,2,2,17,2,2,2,18
141,7,2,2,4,1,3,3,10
142,7,2,3,16,1,1,1,14
143,7,2,3,7,3,2,2,14
144,7,2,3,15,2,3,3,14
145,8,2,1,17,2,1,1,5
146,8,2,1,6,1,2,2,18
147,8,2,1,8,2,3,3,18
148,8,2,2,9,3,1,1,10
149,8,2,2,17,3,2,2,18
150,8,2,2,2,1,3,3,14
151,8,2,3,8,3,1,1,18
152,8,2,3,1,2,2,2,10
153,8,2,3,1,1,3,3,14
154,9,2,1,5,2,1,1,5
155,9,2,1,10,1,2,2,14
156,9,2,1,3,1,3,3,14
157,9,2,2,18,2,1,1,10
158,9,2,2,11,1,2,2,10
159,9,2,2,16,1,3,3,10
160,9,2,3,8,1,1,1,14
161,9,2,3,12,1,2,2,14
162,9,2,3,2,3,3,3,12
163,1,3,1,10,2,1,1,5
164,1,3,1,3,1,2,2,14
165,1,3,1,8,1,3,3,14
166,1,3,2,12,1,1,1,10
167,1,3,2,8,1,2,2,10
168,1,3,2,18,3,3,3,18
169,1,3,3,15,1,1,1,14
170,1,3,3,1,1,2,2,14
171,1,3,3,17,2,3,3,10
172,2,3,1,7,2,1,1,5
173,2,3,1,10,2,2,2,14
174,2,3,1,15,1,3,3,14
175,2,3,2,3,3,1,1,10
176,2,3,2,10,2,2,2,18
177,2,3,2,18,3,3,3,10
178,2,3,3,9,2,1,1,10
179,2,3,3,4,1,2,2,10
180,2,3,3,7,2,3,3,10
181,3,3,1,7,1,1,1,5
182,3,3,1,11,3,2,2,14
183,3,3,1,4,3,3,3,10
184,3,3,2,10,2,1,1,14
185,3,3,2,15,1,2,2,14
186,3,3,2,18,2,3,3,14
187,3,3,3,14,1,1,1,14
188,3,3,3,6,3,2,2,14
189,3,3,3,2,1,3,3,10
190,4,3,1,9,3,1,1,5
191,4,3,1,7,1,2,2,18
192,4,3,1,12,1,3,3,10
193,4,3,2,11,2,1,1,18
194,4,3,2,2,1,2,2,14
195,4,3,2,11,2,3,3,10
196,4,3,3,16,3,1,1,18
197,4,3,3,10,3,2,2,14
198,4,3,3,11,3,3,3,10
199,5,3,1,14,1,1,1,5
200,5,3,1,5,3,2,2,18
201,5,3,1,13,2,3,3,10
202,5,3,2,12,1,1,1,18
203,5,3,2,17,3,2,2,14
204,5,3,2,15,2,3,3,18
205,5,3,3,15,3,1,1,18
206,5,3,3,12,2,2,2,10
207,5,3,3,14,1,3,3,18
208,6,3,1,16,3,1,1,5
209,6,3,1,15,3,2,2,10
210,6,3,1,13,1,3,3,14
211,6,3,2,6,1,1,1,10
212,6,3,2,3,1,2,2,18
213,6,3,2,14,3,3,3,10
214,6,3,3,13,2,1,1,10
215,6,3,3,15,1,2,2,14
216,6,3,3,16,3,3,3,18
217,7,3,1,12,1,1,1,5
218,7,3,1,8,1,2,2,14
219,7,3,1,8,1,3,3,14
220,7,3,2,4,3,1,1,10
221,7,3,2,17,3,2,2,18
222,7,3,2,6,2,3,3,10
223,7,3,3,17,2,1,1,18
224,7,3,3,16,2,2,2,10
225,7,3,3,6,1,3,3,18
226,8,3,1,10,3,1,1,5
227,8,3,1,16,1,2,2,14
228,8,3,1,3,2,3,3,10
229,8,3,2,12,2,1,1,10
230,8,3,2,17,1,2,2,10
231,8,3,2,4,3,3,3,18
232,8,3,3,8,3,1,1,18
233,8,3,3,6,2,2,2,10
234,8,3,3,16,3,3,3,10
235,9,3,1,10,3,1,1,5
236,9,3,1,1,1,2,2,10
237,9,3,1,9,1,3,3,10
238,9,3,2,11,3,1,1,10
239,9,3,2,12,2,2,2,18
240,9,3,2,11,2,3,3,18
241,9,3,3,9,3,1,1,18
242,9,3,3,13,2,2,2,14
243,9,3,3,10,3,3,3,12
244,1,4,1,1,1,1,1,5
245,1,4,1,7,1,2,2,14
246,1,4,1,17,2,3,3,14
247,1,4,2,7,2,1,1,10
248,1,4,2,8,2,2,2,10
249,1,4,2,13,1,3,3,18
250,1,4,3,7,2,1,1,10
251,1,4,3,14,1,2,2,10
252,1,4,3,3,2,3,3,14
253,2,4,1,11,3,1,1,5
254,2,4,1,4,2,2,2,18
255,2,4,1,14,1,3,3,14
256,2,4,2,1,1,1,1,14
257,2,4,2,5,3,2,2,10
258,2,4,2,13,2,3,3,14
259,2,4,3,5,1,1,1,10
260,2,4,3,6,1,2,2,14
261,2,4,3,16,2,3,3,18
262,3,4,1,13,3,1,1,5
263,3,4,1,2,1,2,2,18
264,3,4,1,4,1,3,3,18
265,3,4,2,8,1,1,1,18
266,3,4,2,6,2,2,2,10
267,3,4,2,10,2,3,3,14
268,3,4,3,4,1,1,1,18
269,3,4,3,5,1,2,2,14
270,3,4,3,4,3,3,3,18
271,4,4,1,12,3,1,1,5
272,4,4,1,9,1,2,2,14
273,4,4,1,18,3,3,3,10
274,4,4,2,11,3,1,1,18
275,4,4,2,17,2,2,2,14
276,4,4,2,1,2,3,3,10
277,4,4,3,13,3,1,1,14
278,4,4,3,16,1,2,2,18
279,4,4,3,18,2,3,3,14
280,5,4,1,17,1,1,1,5
281,5,4,1,5,1,2,2,14
282,5,4,1,17,3,3,3,18
283,5,4,2,9,1,1,1,10
284,5,4,2,7,3,2,2,14
285,5,4,2,5,3,3,3,10
286,5,4,3,15,3,1,1,14
287,5,4,3,8,1,2,2,18
288,5,4,3,3,1,3,3,18
289,6,4,1,2,2,1,1,5
290,6,4,1,11,1,2,2,14
291,6,4,1,3,3,3,3,10
292,6,4,2,6,2,1,1,18
293,6,4,2,2,2,2,2,14
294,6,4,2,5,2,3,3,14
295,6,4,3,10,1,1,1,18
296,6,4,3,9,1,2,2,18
297,6,4,3,3,1,3,3,14
298,7,4,1,13,3,1,1,5
299,7,4,1,16,1,2,2,18
300,7,4,1,13,2,3,3,14
301,7,4,2,16,3,1,1,14
302,7,4,2,15,2,2,2,10
303,7,4,2,9,2,3,3,18
304,7,4,3,14,2,1,1,14
305,7,4,3,2,2,2,2,14
306,7,4,3,18,3,3,3,18
307,8,4,1,6,1,1,1,5
308,8,4,1,5,1,2,2,10
309,8,4,1,8,2,3,3,10
310,8,4,2,17,3,1,1,18
311,8,4,2,5,2,2,2,14
312,8,4,2,14,1,3,3,14
313,8,4,3,9,2,1,1,10
314,8,4,3,13,1,2,2,10
315,8,4,3,10,3,3,3,14
316,9,4,1,3,3,1,1,5
317,9,4,1,17,3,2,2,10
318,9,4,1,18,2,3,3,18
319,9,4,2,12,2,1,1,18
320,9,4,2,1,3,2,2,10
321,9,4,2,12,1,3,3,18
322,9,4,3,14,3,1,1,10
323,9,4,3,7,2,2,2,14
324,9,4,3,18,1,3,3,12
