id_solicitud,id_estudiante,id_periodo,id_curso,id_sede,id_horario,fecha,resultado
42,152,1,8,1,2,2024-02-01,ASIGNADA
43,152,1,4,1,1,2024-02-03,ASIGNADA
44,152,1,3,1,1,2024-02-08,ASIGNADA
45,178,1,8,1,1,2024-02-11,ASIGNADA
46,178,1,6,1,1,2024-02-11,ASIGNADA
47,178,1,7,1,3,2024-02-05,ASIGNADA
48,178,1,5,3,1,2024-02-04,ASIGNADA
49,209,1,6,1,2,2024-02-09,ASIGNADA
50,209,1,2,2,2,2024-02-09,ASIGNADA
51,209,1,1,1,1,2024-02-06,ASIGNADA
52,209,1,4,2,1,2024-02-03,NO_ELEGIBLE
53,44,1,4,1,1,2024-02-03,ASIGNADA
54,44,1,6,3,2,2024-02-08,ASIGNADA
55,44,1,9,2,3,2024-02-03,ASIGNADA
56,44,1,7,1,1,2024-02-06,NO_ELEGIBLE
57,211,1,1,1,1,2024-02-01,ASIGNADA
58,211,1,9,1,2,2024-02-10,ASIGNADA
59,211,1,7,1,2,2024-02-07,ASIGNADA
60,211,1,4,2,1,2024-02-08,ASIGNADA
61,12,1,7,1,1,2024-02-03,ASIGNADA
62,12,1,3,1,2,2024-02-11,ASIGNADA
63,12,1,4,3,1,2024-02-10,ASIGNADA
64,12,1,9,1,2,2024-02-04,ASIGNADA
65,171,1,2,3,2,2024-02-08,ASIGNADA
66,171,1,8,1,1,2024-02-09,ASIGNADA
67,171,1,7,1,1,2024-02-02,ASIGNADA
68,171,1,1,1,2,2024-02-04,ASIGNADA
69,34,1,1,2,1,2024-02-06,ASIGNADA
70,34,1,2,1,1,2024-02-08,ASIGNADA
71,34,1,4,2,2,2024-02-05,ASIGNADA
72,34,1,6,2,2,2024-02-09,ASIGNADA
73,22,1,5,1,1,2024-02-04,ASIGNADA
74,22,1,7,1,1,2024-02-10,ASIGNADA
75,22,1,2,1,2,2024-02-05,ASIGNADA
76,22,1,6,1,2,2024-02-10,ASIGNADA
77,80,1,6,1,2,2024-02-04,ASIGNADA
78,80,1,8,2,3,2024-02-09,ASIGNADA
79,80,1,3,3,2,2024-02-10,ASIGNADA
80,80,1,2,1,1,2024-02-07,ASIGNADA
81,137,1,8,1,1,2024-02-09,ASIGNADA
82,137,1,7,1,1,2024-02-11,SIN_CUPO
83,137,1,1,1,1,2024-02-04,ASIGNADA
84,137,1,4,1,1,2024-02-08,DESISTIDA
85,159,1,3,1,1,2024-02-11,ASIGNADA
86,159,1,7,1,1,2024-02-04,SIN_CUPO
87,159,1,6,1,3,2024-02-10,ASIGNADA
88,159,1,5,3,1,2024-02-11,ASIGNADA
89,119,1,4,1,2,2024-02-05,ASIGNADA
90,119,1,1,3,1,2024-02-05,ASIGNADA
91,119,1,8,3,1,2024-02-05,ASIGNADA
92,119,1,5,1,2,2024-02-08,ASIGNADA
93,92,1,1,2,1,2024-02-07,ASIGNADA
94,92,1,6,1,2,2024-02-01,ASIGNADA
95,92,1,2,1,1,2024-02-11,ASIGNADA
96,92,1,3,1,3,2024-02-08,DESISTIDA
97,98,1,7,1,1,2024-02-02,SIN_CUPO
98,98,1,6,3,1,2024-02-06,ASIGNADA
99,98,1,5,3,1,2024-02-04,ASIGNADA
100,98,1,9,1,1,2024-02-01,ASIGNADA
101,123,1,5,2,3,2024-02-06,DESISTIDA
102,123,1,4,1,1,2024-02-04,ASIGNADA
103,123,1,9,1,1,2024-02-07,ASIGNADA
104,123,1,2,1,2,2024-02-09,ASIGNADA
105,64,1,9,1,1,2024-02-07,ASIGNADA
106,64,1,8,2,1,2024-02-01,ASIGNADA
107,64,1,1,1,2,2024-02-11,ASIGNADA
108,64,1,6,1,1,2024-02-04,ASIGNADA
109,70,1,2,1,1,2024-02-07,ASIGNADA
110,70,1,4,2,1,2024-02-02,ASIGNADA
111,70,1,1,1,1,2024-02-07,ASIGNADA
112,70,1,7,3,1,2024-02-08,ASIGNADA
113,37,1,9,1,2,2024-02-08,ASIGNADA
114,37,1,2,1,3,2024-02-11,ASIGNADA
115,37,1,7,1,1,2024-02-03,SIN_CUPO
116,37,1,6,2,1,2024-02-10,ASIGNADA
117,69,1,8,3,1,2024-02-03,ASIGNADA
118,69,1,1,3,1,2024-02-07,ASIGNADA
119,69,1,7,1,1,2024-02-09,SIN_CUPO
120,69,1,3,2,2,2024-02-01,ASIGNADA
121,108,1,5,1,2,2024-02-06,ASIGNADA
122,108,1,8,2,1,2024-02-05,ASIGNADA
123,108,1,3,2,1,2024-02-11,ASIGNADA
124,108,1,7,2,1,2024-02-02,ASIGNADA
125,39,1,2,1,2,2024-02-01,ASIGNADA
126,39,1,8,1,1,2024-02-08,ASIGNADA
127,39,1,1,2,1,2024-02-01,ASIGNADA
128,39,1,3,1,2,2024-02-08,ASIGNADA
129,164,1,3,3,3,2024-02-07,ASIGNADA
130,164,1,5,2,1,2024-02-06,ASIGNADA
131,164,1,1,1,3,2024-02-09,ASIGNADA
132,164,1,6,1,1,2024-02-06,ASIGNADA
133,160,1,5,1,2,2024-02-11,ASIGNADA
134,160,1,9,1,2,2024-02-05,ASIGNADA
135,160,1,1,1,2,2024-02-06,ASIGNADA
136,160,1,2,3,1,2024-02-02,ASIGNADA
137,124,1,4,3,1,2024-02-11,ASIGNADA
138,124,1,3,1,3,2024-02-09,ASIGNADA
139,124,1,7,1,2,2024-02-10,ASIGNADA
140,124,1,5,1,2,2024-02-02,ASIGNADA
141,161,1,1,2,2,2024-02-04,ASIGNADA
142,161,1,4,2,2,2024-02-06,ASIGNADA
143,161,1,6,1,1,2024-02-02,ASIGNADA
144,161,1,7,1,2,2024-02-11,ASIGNADA
145,170,1,3,3,1,2024-02-01,ASIGNADA
146,170,1,1,1,2,2024-02-05,ASIGNADA
147,170,1,5,2,1,2024-02-07,ASIGNADA
148,170,1,6,1,1,2024-02-03,ASIGNADA
149,89,1,9,1,1,2024-02-05,ASIGNADA
150,89,1,7,1,2,2024-02-04,ASIGNADA
151,89,1,2,2,2,2024-02-06,ASIGNADA
152,89,1,1,1,1,2024-02-06,NO_ELEGIBLE
153,59,1,9,2,2,2024-02-04,ASIGNADA
154,59,1,4,3,1,2024-02-04,ASIGNADA
155,59,1,8,1,3,2024-02-06,ASIGNADA
156,59,1,3,2,1,2024-02-02,ASIGNADA
157,220,1,4,1,2,2024-02-08,ASIGNADA
158,220,1,3,3,1,2024-02-11,DESISTIDA
159,220,1,9,2,1,2024-02-03,ASIGNADA
160,220,1,5,1,1,2024-02-03,ASIGNADA
161,166,1,4,1,2,2024-02-10,ASIGNADA
162,166,1,2,3,2,2024-02-04,ASIGNADA
163,166,1,9,1,1,2024-02-06,ASIGNADA
164,166,1,5,1,1,2024-02-03,SIN_CUPO
165,85,1,3,1,1,2024-02-08,SIN_CUPO
166,85,1,7,1,1,2024-02-07,SIN_CUPO
167,85,1,2,1,1,2024-02-06,ASIGNADA
168,85,1,1,1,1,2024-02-04,ASIGNADA
169,7,1,1,1,1,2024-02-11,SIN_CUPO
170,7,1,4,1,3,2024-02-06,ASIGNADA
171,7,1,5,1,2,2024-02-09,ASIGNADA
172,7,1,9,3,2,2024-02-10,ASIGNADA
173,115,1,5,1,1,2024-02-11,SIN_CUPO
174,115,1,7,1,1,2024-02-09,SIN_CUPO
175,115,1,8,1,3,2024-02-02,ASIGNADA
176,115,1,1,2,1,2024-02-07,NO_ELEGIBLE
177,97,1,3,1,1,2024-02-07,SIN_CUPO
178,97,1,1,1,1,2024-02-04,SIN_CUPO
179,97,1,8,2,1,2024-02-06,ASIGNADA
180,97,1,2,1,1,2024-02-01,SIN_CUPO
181,109,1,1,1,2,2024-02-11,ASIGNADA
182,109,1,2,1,1,2024-02-07,SIN_CUPO
183,109,1,6,3,2,2024-02-04,ASIGNADA
184,109,1,7,1,1,2024-02-11,SIN_CUPO
185,191,1,8,1,1,2024-02-04,SIN_CUPO
186,191,1,1,1,2,2024-02-06,ASIGNADA
187,191,1,5,2,1,2024-02-03,ASIGNADA
188,191,1,3,1,1,2024-02-08,SIN_CUPO
189,90,1,1,1,1,2024-02-06,SIN_CUPO
190,90,1,2,2,2,2024-02-05,ASIGNADA
191,90,1,8,1,3,2024-02-01,ASIGNADA
192,90,1,3,2,3,2024-02-04,ASIGNADA
193,179,1,8,3,1,2024-02-03,ASIGNADA
194,179,1,5,1,1,2024-02-06,SIN_CUPO
195,179,1,6,1,1,2024-02-05,SIN_CUPO
196,179,1,7,2,1,2024-02-09,ASIGNADA
197,135,1,6,3,1,2024-02-07,ASIGNADA
198,135,1,3,2,1,2024-02-07,ASIGNADA
199,135,1,9,2,1,2024-02-11,ASIGNADA
200,135,1,1,2,1,2024-02-02,ASIGNADA
201,5,1,4,3,1,2024-02-11,ASIGNADA
202,5,1,3,1,3,2024-02-09,ASIGNADA
203,5,1,9,1,1,2024-02-10,SIN_CUPO
204,5,1,6,1,1,2024-02-03,SIN_CUPO
205,4,1,4,1,3,2024-02-09,ASIGNADA
206,4,1,5,2,1,2024-02-06,ASIGNADA
207,4,1,8,1,1,2024-02-08,SIN_CUPO
208,4,1,3,1,3,2024-02-03,ASIGNADA
209,165,1,1,1,1,2024-02-06,SIN_CUPO
210,165,1,5,2,1,2024-02-11,ASIGNADA
211,165,1,6,1,1,2024-02-02,SIN_CUPO
212,165,1,7,2,2,2024-02-09,ASIGNADA
213,38,1,6,1,2,2024-02-11,ASIGNADA
214,38,1,7,2,1,2024-02-07,ASIGNADA
215,38,1,3,1,1,2024-02-01,SIN_CUPO
216,38,1,4,2,1,2024-02-06,ASIGNADA
217,40,1,7,1,2,2024-02-11,ASIGNADA
218,40,1,9,1,1,2024-02-06,SIN_CUPO
219,40,1,1,1,1,2024-02-03,SIN_CUPO
220,40,1,2,2,1,2024-02-05,ASIGNADA
221,91,1,8,2,2,2024-02-10,ASIGNADA
222,91,1,7,1,1,2024-02-04,SIN_CUPO
223,91,1,1,1,2,2024-02-02,ASIGNADA
224,91,1,2,1,1,2024-02-06,SIN_CUPO
225,67,1,8,1,1,2024-02-04,DESISTIDA
226,67,1,9,1,3,2024-02-03,ASIGNADA
227,67,1,5,1,2,2024-02-08,NO_ELEGIBLE
228,67,1,3,1,1,2024-02-07,SIN_CUPO
229,218,1,6,3,2,2024-02-02,ASIGNADA
230,218,1,9,1,1,2024-02-09,SIN_CUPO
231,218,1,3,3,1,2024-02-10,ASIGNADA
232,218,1,5,1,1,2024-02-04,SIN_CUPO
233,18,1,3,1,1,2024-02-06,SIN_CUPO
234,18,1,9,1,1,2024-02-11,SIN_CUPO
235,18,1,4,3,1,2024-02-03,ASIGNADA
236,18,1,6,1,3,2024-02-01,ASIGNADA
237,29,1,6,1,1,2024-02-06,SIN_CUPO
238,29,1,1,1,1,2024-02-06,SIN_CUPO
239,29,1,9,1,1,2024-02-09,SIN_CUPO
240,29,1,3,3,1,2024-02-03,ASIGNADA
241,88,1,4,2,1,2024-02-11,ASIGNADA
242,88,1,8,1,3,2024-02-10,ASIGNADA
243,88,1,5,1,2,2024-02-03,NO_ELEGIBLE
244,88,1,1,1,1,2024-02-06,SIN_CUPO
245,99,1,4,1,1,2024-02-11,ASIGNADA
246,99,1,2,1,1,2024-02-01,SIN_CUPO
247,99,1,3,1,1,2024-02-04,SIN_CUPO
248,99,1,1,2,1,2024-02-02,ASIGNADA
249,20,1,9,3,2,2024-02-08,ASIGNADA
250,20,1,7,1,1,2024-02-11,SIN_CUPO
251,20,1,1,1,2,2024-02-10,ASIGNADA
252,20,1,4,3,3,2024-02-04,ASIGNADA
253,45,1,3,2,2,2024-02-10,ASIGNADA
254,45,1,6,1,1,2024-02-07,SIN_CUPO
255,45,1,1,1,1,2024-02-08,SIN_CUPO
256,45,1,4,1,1,2024-02-11,SIN_CUPO
257,194,1,9,1,1,2024-02-10,SIN_CUPO
258,194,1,1,2,3,2024-02-06,ASIGNADA
259,194,1,4,3,1,2024-02-03,ASIGNADA
260,194,1,8,3,1,2024-02-02,ASIGNADA
261,150,1,5,2,2,2024-02-08,ASIGNADA
262,150,1,6,1,2,2024-02-04,ASIGNADA
263,150,1,8,1,1,2024-02-05,SIN_CUPO
264,150,1,4,2,1,2024-02-09,ASIGNADA
265,50,1,4,1,3,2024-02-03,ASIGNADA
266,50,1,8,2,2,2024-02-07,ASIGNADA
267,50,1,5,1,1,2024-02-07,SIN_CUPO
268,50,1,7,2,2,2024-02-11,ASIGNADA
269,154,1,1,3,1,2024-02-06,ASIGNADA
270,154,1,5,1,1,2024-02-11,SIN_CUPO
271,154,1,9,2,3,2024-02-03,ASIGNADA
272,154,1,6,2,3,2024-02-06,ASIGNADA
273,103,1,4,2,1,2024-02-03,NO_ELEGIBLE
274,103,1,3,1,2,2024-02-10,ASIGNADA
275,103,1,2,1,2,2024-02-11,ASIGNADA
276,103,1,7,1,2,2024-02-10,ASIGNADA
277,201,1,2,2,1,2024-02-06,ASIGNADA
278,201,1,4,3,1,2024-02-01,ASIGNADA
279,201,1,8,2,1,2024-02-10,ASIGNADA
280,201,1,5,3,1,2024-02-07,ASIGNADA
281,139,1,3,2,3,2024-02-03,ASIGNADA
282,139,1,9,1,1,2024-02-06,SIN_CUPO
283,139,1,2,1,1,2024-02-07,SIN_CUPO
284,139,1,7,1,2,2024-02-06,ASIGNADA
285,195,1,6,1,3,2024-02-03,ASIGNADA
286,195,1,2,2,1,2024-02-09,ASIGNADA
287,195,1,1,3,2,2024-02-06,ASIGNADA
288,195,1,4,2,2,2024-02-10,ASIGNADA
289,156,1,1,1,1,2024-02-02,SIN_CUPO
290,156,1,6,1,2,2024-02-02,ASIGNADA
291,156,1,2,2,3,2024-02-10,ASIGNADA
292,156,1,9,2,2,2024-02-10,ASIGNADA
293,83,1,9,1,3,2024-02-02,ASIGNADA
294,83,1,6,3,1,2024-02-10,ASIGNADA
295,83,1,3,1,1,2024-02-06,SIN_CUPO
296,83,1,4,2,1,2024-02-05,ASIGNADA
297,224,1,3,1,1,2024-02-07,SIN_CUPO
298,224,1,8,3,2,2024-02-03,ASIGNADA
299,224,1,5,1,2,2024-02-04,ASIGNADA
300,224,1,4,1,1,2024-02-01,SIN_CUPO
301,125,1,6,1,3,2024-02-01,ASIGNADA
302,125,1,4,1,1,2024-02-06,SIN_CUPO
303,125,1,2,1,2,2024-02-07,DESISTIDA
304,125,1,9,1,3,2024-02-11,ASIGNADA
305,235,1,4,1,1,2024-02-02,SIN_CUPO
306,235,1,8,2,1,2024-02-05,ASIGNADA
307,235,1,7,1,1,2024-02-04,NO_ELEGIBLE
308,235,1,2,3,1,2024-02-01,ASIGNADA
309,101,1,6,1,2,2024-02-07,ASIGNADA
310,101,1,3,3,3,2024-02-08,ASIGNADA
311,101,1,1,1,1,2024-02-03,SIN_CUPO
312,101,1,7,1,1,2024-02-08,SIN_CUPO
313,105,1,2,1,1,2024-02-05,SIN_CUPO
314,105,1,5,1,3,2024-02-09,ASIGNADA
315,105,1,7,2,1,2024-02-09,ASIGNADA
316,105,1,3,3,1,2024-02-07,ASIGNADA
317,223,1,3,2,3,2024-02-07,ASIGNADA
318,223,1,7,1,2,2024-02-09,ASIGNADA
319,223,1,5,3,1,2024-02-11,ASIGNADA
320,223,1,2,2,2,2024-02-05,ASIGNADA
321,145,1,8,1,1,2024-02-03,SIN_CUPO
322,145,1,7,1,1,2024-02-07,NO_ELEGIBLE
323,145,1,1,2,1,2024-02-11,ASIGNADA
324,145,1,2,1,2,2024-02-03,ASIGNADA
325,112,1,2,1,2,2024-02-10,ASIGNADA
326,112,1,5,1,1,2024-02-10,SIN_CUPO
327,112,1,7,1,1,2024-02-05,SIN_CUPO
328,112,1,9,2,2,2024-02-07,ASIGNADA
329,56,1,4,2,1,2024-02-09,ASIGNADA
330,56,1,8,1,2,2024-02-04,ASIGNADA
331,56,1,1,1,2,2024-02-04,ASIGNADA
332,56,1,9,1,2,2024-02-03,ASIGNADA
333,118,1,9,1,3,2024-02-09,DESISTIDA
334,118,1,4,1,1,2024-02-05,SIN_CUPO
335,118,1,8,3,2,2024-02-11,ASIGNADA
336,118,1,5,1,1,2024-02-10,SIN_CUPO
337,49,1,9,1,2,2024-02-11,ASIGNADA
338,49,1,7,2,1,2024-02-01,ASIGNADA
339,49,1,8,2,3,2024-02-10,ASIGNADA
340,49,1,3,3,3,2024-02-09,ASIGNADA
341,163,1,6,2,1,2024-02-01,ASIGNADA
342,163,1,9,1,1,2024-02-01,SIN_CUPO
343,163,1,4,1,3,2024-02-02,ASIGNADA
344,163,1,3,2,1,2024-02-11,ASIGNADA
345,133,1,5,1,1,2024-02-10,SIN_CUPO
346,133,1,3,1,3,2024-02-10,ASIGNADA
347,133,1,8,1,2,2024-02-08,ASIGNADA
348,133,1,4,1,1,2024-02-10,SIN_CUPO
349,184,1,7,3,1,2024-02-07,ASIGNADA
350,184,1,1,1,2,2024-02-01,ASIGNADA
351,184,1,4,2,1,2024-02-11,ASIGNADA
352,184,1,9,1,3,2024-02-07,NO_ELEGIBLE
353,174,1,2,1,1,2024-02-02,SIN_CUPO
354,174,1,1,2,1,2024-02-05,ASIGNADA
355,174,1,6,1,1,2024-02-04,SIN_CUPO
356,174,1,4,1,1,2024-02-10,NO_ELEGIBLE
357,141,1,9,3,2,2024-02-08,ASIGNADA
358,141,1,3,1,1,2024-02-10,SIN_CUPO
359,141,1,6,1,1,2024-02-02,SIN_CUPO
360,141,1,4,1,1,2024-02-10,DESISTIDA
361,237,1,6,3,2,2024-02-04,ASIGNADA
362,237,1,1,1,1,2024-02-07,SIN_CUPO
363,237,1,8,3,1,2024-02-06,ASIGNADA
364,237,1,7,1,2,2024-02-04,ASIGNADA
365,151,1,6,3,1,2024-02-05,ASIGNADA
366,151,1,4,1,1,2024-02-09,SIN_CUPO
367,151,1,1,2,1,2024-02-02,ASIGNADA
368,151,1,9,1,3,2024-02-09,ASIGNADA
369,168,1,2,3,3,2024-02-10,ASIGNADA
370,168,1,3,2,1,2024-02-05,ASIGNADA
371,168,1,7,2,2,2024-02-06,ASIGNADA
372,168,1,1,1,1,2024-02-10,SIN_CUPO
373,122,1,6,1,2,2024-02-06,ASIGNADA
374,122,1,1,2,1,2024-02-01,ASIGNADA
375,122,1,2,1,1,2024-02-05,SIN_CUPO
376,122,1,4,1,2,2024-02-09,ASIGNADA
377,226,1,6,1,2,2024-02-08,ASIGNADA
378,226,1,7,1,2,2024-02-03,SIN_CUPO
379,226,1,2,1,3,2024-02-04,ASIGNADA
380,226,1,4,2,1,2024-02-04,ASIGNADA
381,16,1,6,2,2,2024-02-05,ASIGNADA
382,16,1,8,1,3,2024-02-09,DESISTIDA
383,16,1,3,3,2,2024-02-02,ASIGNADA
384,16,1,2,1,3,2024-02-06,ASIGNADA
385,117,1,3,3,2,2024-02-01,ASIGNADA
386,117,1,9,2,1,2024-02-06,ASIGNADA
387,117,1,6,3,1,2024-02-09,ASIGNADA
388,117,1,7,1,1,2024-02-06,SIN_CUPO
389,68,1,2,1,1,2024-02-11,SIN_CUPO
390,68,1,4,1,1,2024-02-06,SIN_CUPO
391,68,1,1,1,1,2024-02-11,SIN_CUPO
392,68,1,8,2,3,2024-02-03,ASIGNADA
393,153,1,5,1,1,2024-02-04,SIN_CUPO
394,153,1,8,3,1,2024-02-10,ASIGNADA
395,153,1,7,2,1,2024-02-01,ASIGNADA
396,153,1,6,3,1,2024-02-02,ASIGNADA
397,111,1,9,1,1,2024-02-03,SIN_CUPO
398,111,1,8,2,1,2024-02-07,ASIGNADA
399,111,1,6,1,3,2024-02-04,ASIGNADA
400,111,1,7,1,1,2024-02-08,SIN_CUPO
401,229,1,3,1,1,2024-02-02,SIN_CUPO
402,229,1,4,2,3,2024-02-05,ASIGNADA
403,229,1,2,1,1,2024-02-10,SIN_CUPO
404,229,1,6,1,1,2024-02-07,SIN_CUPO
405,60,1,3,3,1,2024-02-08,NO_ELEGIBLE
406,60,1,4,1,1,2024-02-10,NO_ELEGIBLE
407,60,1,9,2,3,2024-02-02,ASIGNADA
408,60,1,8,1,1,2024-02-07,SIN_CUPO
409,28,1,3,1,3,2024-02-07,ASIGNADA
410,28,1,2,1,1,2024-02-11,SIN_CUPO
411,28,1,9,1,1,2024-02-04,SIN_CUPO
412,28,1,1,1,1,2024-02-05,SIN_CUPO
413,54,1,7,1,2,2024-02-06,SIN_CUPO
414,54,1,1,1,1,2024-02-06,SIN_CUPO
415,54,1,6,2,1,2024-02-11,ASIGNADA
416,54,1,3,1,3,2024-02-03,ASIGNADA
417,240,1,9,1,1,2024-02-09,SIN_CUPO
418,240,1,5,3,1,2024-02-03,DESISTIDA
419,240,1,3,1,1,2024-02-04,SIN_CUPO
420,240,1,4,1,3,2024-02-07,ASIGNADA
421,113,1,6,2,2,2024-02-10,ASIGNADA
422,113,1,5,1,2,2024-02-11,ASIGNADA
423,113,1,8,2,3,2024-02-08,ASIGNADA
424,113,1,2,1,1,2024-02-07,SIN_CUPO
425,147,1,3,2,2,2024-02-11,ASIGNADA
426,147,1,8,1,2,2024-02-09,ASIGNADA
427,147,1,9,3,1,2024-02-10,ASIGNADA
428,147,1,7,1,2,2024-02-09,SIN_CUPO
429,15,1,4,2,3,2024-02-08,ASIGNADA
430,15,1,2,2,1,2024-02-10,ASIGNADA
431,15,1,9,3,2,2024-02-07,ASIGNADA
432,15,1,6,3,3,2024-02-04,ASIGNADA
433,169,1,7,1,3,2024-02-04,ASIGNADA
434,169,1,6,3,3,2024-02-08,ASIGNADA
435,169,1,8,2,1,2024-02-02,ASIGNADA
436,169,1,1,1,1,2024-02-01,SIN_CUPO
437,6,1,6,1,2,2024-02-01,ASIGNADA
438,6,1,8,1,2,2024-02-02,ASIGNADA
439,6,1,7,1,1,2024-02-03,NO_ELEGIBLE
440,6,1,9,3,1,2024-02-08,ASIGNADA
441,23,1,2,3,2,2024-02-02,ASIGNADA
442,23,1,6,3,1,2024-02-05,ASIGNADA
443,23,1,8,2,3,2024-02-05,ASIGNADA
444,23,1,4,1,1,2024-02-02,SIN_CUPO
445,227,1,7,1,1,2024-02-07,SIN_CUPO
446,227,1,2,1,1,2024-02-10,SIN_CUPO
447,227,1,5,1,3,2024-02-11,ASIGNADA
448,227,1,6,1,1,2024-02-10,SIN_CUPO
449,198,1,8,3,1,2024-02-03,ASIGNADA
450,198,1,7,1,1,2024-02-05,SIN_CUPO
451,198,1,3,2,2,2024-02-06,ASIGNADA
452,198,1,1,2,1,2024-02-05,ASIGNADA
453,130,1,7,2,1,2024-02-03,ASIGNADA
454,130,1,3,3,2,2024-02-08,ASIGNADA
455,130,1,9,1,1,2024-02-05,SIN_CUPO
456,130,1,5,3,1,2024-02-03,ASIGNADA
457,63,1,7,1,2,2024-02-10,SIN_CUPO
458,63,1,3,1,2,2024-02-01,ASIGNADA
459,63,1,6,2,1,2024-02-08,ASIGNADA
460,63,1,5,2,1,2024-02-03,ASIGNADA
461,95,1,8,1,2,2024-02-05,ASIGNADA
462,95,1,9,1,3,2024-02-09,ASIGNADA
463,95,1,3,3,2,2024-02-10,DESISTIDA
464,95,1,2,2,1,2024-02-01,ASIGNADA
465,216,1,3,1,3,2024-02-10,ASIGNADA
466,216,1,5,3,3,2024-02-03,ASIGNADA
467,216,1,7,1,2,2024-02-01,SIN_CUPO
468,216,1,6,1,2,2024-02-04,ASIGNADA
469,8,1,6,3,1,2024-02-02,ASIGNADA
470,8,1,9,1,2,2024-02-09,ASIGNADA
471,8,1,1,3,3,2024-02-06,ASIGNADA
472,8,1,7,1,1,2024-02-10,SIN_CUPO
473,192,1,7,3,1,2024-02-11,ASIGNADA
474,192,1,2,3,1,2024-02-09,ASIGNADA
475,192,1,5,1,3,2024-02-07,ASIGNADA
476,192,1,9,2,1,2024-02-02,ASIGNADA
477,134,1,6,1,2,2024-02-09,ASIGNADA
478,134,1,8,1,3,2024-02-08,ASIGNADA
479,134,1,4,2,3,2024-02-03,ASIGNADA
480,134,1,5,2,1,2024-02-05,ASIGNADA
481,202,1,7,3,1,2024-02-05,ASIGNADA
482,202,1,2,2,2,2024-02-01,ASIGNADA
483,202,1,3,1,2,2024-02-09,ASIGNADA
484,202,1,4,1,2,2024-02-04,DESISTIDA
485,74,1,8,1,1,2024-02-03,SIN_CUPO
486,74,1,3,1,1,2024-02-11,SIN_CUPO
487,74,1,9,1,1,2024-02-07,SIN_CUPO
488,74,1,4,1,3,2024-02-08,ASIGNADA
489,65,1,9,1,3,2024-02-04,ASIGNADA
490,65,1,3,1,2,2024-02-03,DESISTIDA
491,65,1,5,2,1,2024-02-03,ASIGNADA
492,65,1,2,1,1,2024-02-03,NO_ELEGIBLE
493,175,1,4,1,1,2024-02-06,SIN_CUPO
494,175,1,7,3,2,2024-02-07,ASIGNADA
495,175,1,5,1,1,2024-02-02,SIN_CUPO
496,175,1,2,1,1,2024-02-06,SIN_CUPO
497,205,1,8,2,2,2024-02-08,ASIGNADA
498,205,1,5,2,1,2024-02-10,ASIGNADA
499,205,1,3,1,1,2024-02-06,SIN_CUPO
500,205,1,9,3,1,2024-02-09,ASIGNADA
501,58,1,1,3,1,2024-02-09,ASIGNADA
502,58,1,6,2,2,2024-02-10,ASIGNADA
503,58,1,2,1,1,2024-02-05,NO_ELEGIBLE
504,58,1,8,1,3,2024-02-06,ASIGNADA
505,32,1,5,1,2,2024-02-05,ASIGNADA
506,32,1,6,2,1,2024-02-09,ASIGNADA
507,32,1,4,2,1,2024-02-04,ASIGNADA
508,32,1,7,1,3,2024-02-06,ASIGNADA
