id_matricula,id_solicitud,id_grupo,fecha,estado,nota,fecha_retiro
79,88,43,2024-02-12,APROBADO,81.31,
80,89,29,2024-02-06,REPROBADO,35.11,
81,90,7,2024-02-06,APROBADO,97.15,
82,91,70,2024-02-06,APROBADO,70.9,
83,92,38,2024-02-09,APROBADO,95.27,
84,93,4,2024-02-08,APROBADO,71.53,
85,94,47,2024-02-02,APROBADO,72.92,
86,95,10,2024-02-12,REPROBADO,20.83,
87,98,52,2024-02-07,RETIRADO,,2024-04-13
88,99,43,2024-02-05,APROBADO,70.73,
89,100,73,2024-02-02,REPROBADO,50.55,
90,102,28,2024-02-05,REPROBADO,23.37,
91,103,73,2024-02-08,RETIRADO,,2024-03-24
92,104,11,2024-02-10,APROBADO,99.26,
93,105,73,2024-02-08,REPROBADO,37.71,
94,106,67,2024-02-02,APROBADO,85.72,
95,107,2,2024-02-12,REPROBADO,22.14,
96,108,46,2024-02-05,REPROBADO,62.72,
97,109,10,2024-02-08,REPROBADO,32.86,
98,110,31,2024-02-03,APROBADO,76.61,
99,111,1,2024-02-08,RETIRADO,,2024-03-04
100,112,61,2024-02-09,APROBADO,81.55,
101,113,74,2024-02-09,REPROBADO,44.89,
102,114,12,2024-02-12,APROBADO,98.86,
103,116,49,2024-02-11,REPROBADO,26.59,
104,117,70,2024-02-04,APROBADO,71.8,
105,118,7,2024-02-08,APROBADO,80.6,
106,120,23,2024-02-02,RETIRADO,,2024-03-02
107,121,38,2024-02-07,APROBADO,79.17,
108,122,67,2024-02-06,APROBADO,87.48,
109,123,22,2024-02-12,REPROBADO,46.55,
110,124,58,2024-02-03,REPROBADO,64.07,
111,125,11,2024-02-02,APROBADO,84.28,
112,126,64,2024-02-09,APROBADO,84.15,
113,127,4,2024-02-02,APROBADO,75.12,
114,128,20,2024-02-09,APROBADO,99.21,
115,129,27,2024-02-08,APROBADO,75.45,
116,130,40,2024-02-07,APROBADO,96.08,
117,131,3,2024-02-10,RETIRADO,,2024-04-18
118,132,46,2024-02-07,APROBADO,71.14,
119,133,38,2024-02-12,APROBADO,72.52,
120,134,74,2024-02-06,APROBADO,98.47,
121,135,2,2024-02-07,RETIRADO,,2024-03-23
122,136,16,2024-02-03,APROBADO,97.56,
123,137,34,2024-02-12,APROBADO,98.46,
124,138,21,2024-02-10,APROBADO,73.2,
125,139,56,2024-02-11,APROBADO,89.48,
126,140,38,2024-02-03,REPROBADO,24.74,
127,141,5,2024-02-05,APROBADO,81.43,
128,142,32,2024-02-07,APROBADO,97.45,
129,143,46,2024-02-03,APROBADO,97.44,
130,144,56,2024-02-12,APROBADO,80.54,
131,145,25,2024-02-02,APROBADO,75.8,
132,146,2,2024-02-06,APROBADO,71.45,
133,147,40,2024-02-08,APROBADO,71.5,
134,148,46,2024-02-04,APROBADO,98.14,
135,149,73,2024-02-06,APROBADO,74.65,
136,150,56,2024-02-05,RETIRADO,,2024-04-10
137,151,14,2024-02-07,APROBADO,71.43,
138,153,77,2024-02-05,APROBADO,90.35,
139,154,34,2024-02-05,APROBADO,94.67,
140,155,66,2024-02-07,REPROBADO,56.14,
141,156,22,2024-02-03,APROBADO,77.17,
142,157,29,2024-02-09,REPROBADO,49.4,
143,159,76,2024-02-04,REPROBADO,38.89,
144,160,37,2024-02-04,APROBADO,72.87,
145,161,29,2024-02-11,APROBADO,80.28,
146,162,17,2024-02-05,REPROBADO,65.38,
147,163,73,2024-02-07,APROBADO,81.52,
148,167,10,2024-02-07,APROBADO,77.74,
149,168,1,2024-02-05,APROBADO,79.61,
150,170,30,2024-02-07,APROBADO,86.2,
151,171,38,2024-02-10,APROBADO,95.53,
152,172,80,2024-02-11,RETIRADO,,2024-03-26
153,175,66,2024-02-03,APROBADO,90.05,
154,179,67,2024-02-07,RETIRADO,,2024-03-07
155,181,2,2024-02-12,APROBADO,74.8,
156,183,53,2024-02-05,APROBADO,73.62,
157,186,2,2024-02-07,APROBADO,70.42,
158,187,40,2024-02-04,APROBADO,87.49,
159,190,14,2024-02-06,REPROBADO,28.65,
160,191,66,2024-02-02,APROBADO,70.76,
161,192,24,2024-02-05,REPROBADO,33.35,
162,193,70,2024-02-04,REPROBADO,58.81,
163,196,58,2024-02-10,RETIRADO,,2024-04-11
164,197,52,2024-02-08,APROBADO,96.51,
165,198,22,2024-02-08,APROBADO,81.86,
166,199,76,2024-02-12,RETIRADO,,2024-03-29
167,200,4,2024-02-03,APROBADO,89.23,
168,201,34,2024-02-12,REPROBADO,41.16,
169,202,21,2024-02-10,REPROBADO,31.25,
170,205,30,2024-02-10,APROBADO,75.14,
171,206,40,2024-02-07,REPROBADO,34.28,
172,208,21,2024-02-04,REPROBADO,43.3,
173,210,40,2024-02-12,RETIRADO,,2024-04-15
174,212,59,2024-02-10,APROBADO,79.8,
175,213,47,2024-02-12,APROBADO,79.65,
176,214,58,2024-02-08,APROBADO,87.86,
177,216,31,2024-02-07,APROBADO,94.28,
178,217,56,2024-02-12,APROBADO,98.12,
179,220,13,2024-02-06,APROBADO,90.36,
180,221,68,2024-02-11,APROBADO,76.21,
181,223,2,2024-02-03,REPROBADO,40.12,
182,226,75,2024-02-04,REPROBADO,36.42,
183,229,53,2024-02-03,APROBADO,81.99,
184,231,25,2024-02-11,APROBADO,91.97,
185,235,34,2024-02-04,APROBADO,71.97,
186,236,48,2024-02-02,APROBADO,75.99,
187,240,25,2024-02-04,APROBADO,85.44,
188,241,31,2024-02-12,REPROBADO,48.54,
189,242,66,2024-02-11,APROBADO,71.23,
190,245,28,2024-02-12,APROBADO,85.04,
191,248,4,2024-02-03,APROBADO,75.76,
192,249,80,2024-02-09,REPROBADO,36.7,
193,251,2,2024-02-11,APROBADO,99.9,
194,252,36,2024-02-05,APROBADO,97.42,
195,253,23,2024-02-11,APROBADO,71.64,
196,258,6,2024-02-07,APROBADO,79.81,
197,259,34,2024-02-04,RETIRADO,,2024-04-10
198,260,70,2024-02-03,APROBADO,72.62,
199,261,41,2024-02-09,APROBADO,92.75,
200,262,47,2024-02-05,REPROBADO,61.27,
201,264,31,2024-02-10,REPROBADO,24.57,
202,265,30,2024-02-04,RETIRADO,,2024-03-12
203,266,68,2024-02-08,REPROBADO,26.29,
204,268,59,2024-02-12,APROBADO,80.12,
205,269,7,2024-02-07,APROBADO,82.21,
206,271,78,2024-02-04,APROBADO,73.6,
207,272,51,2024-02-07,APROBADO,94.42,
208,274,20,2024-02-11,APROBADO,88.97,
209,275,11,2024-02-12,RETIRADO,,2024-03-17
210,276,56,2024-02-11,RETIRADO,,2024-03-14
211,277,13,2024-02-07,APROBADO,85.81,
212,278,34,2024-02-02,APROBADO,95.67,
213,279,67,2024-02-11,APROBADO,90.9,
214,280,43,2024-02-08,APROBADO,90.68,
215,281,24,2024-02-04,REPROBADO,69.89,
216,284,56,2024-02-07,REPROBADO,35.86,
217,285,48,2024-02-04,APROBADO,74.92,
218,286,13,2024-02-10,APROBADO,70.45,
219,287,8,2024-02-07,RETIRADO,,2024-04-07
220,288,32,2024-02-11,APROBADO,85.9,
221,290,47,2024-02-03,APROBADO,90.1,
222,291,15,2024-02-11,RETIRADO,,2024-03-17
223,292,77,2024-02-11,REPROBADO,38.49,
224,293,75,2024-02-03,RETIRADO,,2024-04-02
225,294,52,2024-02-11,APROBADO,95.81,
226,296,31,2024-02-06,APROBADO,83.63,
227,298,71,2024-02-04,APROBADO,72.47,
228,299,38,2024-02-05,RETIRADO,,2024-03-24
229,301,48,2024-02-02,REPROBADO,64.97,
230,304,75,2024-02-12,APROBADO,75.32,
231,306,67,2024-02-06,REPROBADO,25.37,
232,308,16,2024-02-02,APROBADO,73.03,
233,309,47,2024-02-08,RETIRADO,,2024-03-03
234,310,27,2024-02-09,REPROBADO,54.65,
235,314,39,2024-02-10,REPROBADO,40.48,
236,315,58,2024-02-10,RETIRADO,,2024-03-28
237,316,25,2024-02-08,REPROBADO,69.53,
238,317,24,2024-02-08,REPROBADO,67.08,
239,318,56,2024-02-10,APROBADO,73.69,
240,319,43,2024-02-12,RETIRADO,,2024-04-18
241,320,14,2024-02-06,APROBADO,93.48,
242,323,4,2024-02-12,APROBADO,77.1,
243,324,11,2024-02-04,APROBADO,90.92,
244,325,11,2024-02-11,REPROBADO,66.89,
245,328,77,2024-02-08,RETIRADO,,2024-03-09
246,329,31,2024-02-10,RETIRADO,,2024-04-12
247,330,65,2024-02-05,APROBADO,87.37,
248,331,2,2024-02-05,APROBADO,93.32,
249,332,74,2024-02-04,RETIRADO,,2024-04-15
250,335,71,2024-02-12,APROBADO,79.92,
251,337,74,2024-02-12,RETIRADO,,2024-04-02
252,338,58,2024-02-02,APROBADO,90.52,
253,339,69,2024-02-11,APROBADO,72.18,
254,340,27,2024-02-10,APROBADO,75.08,
255,341,49,2024-02-02,APROBADO,80.08,
256,343,30,2024-02-03,APROBADO,78.48,
257,344,22,2024-02-12,APROBADO,96.88,
258,346,21,2024-02-11,REPROBADO,30.07,
259,347,65,2024-02-09,APROBADO,77.73,
260,349,61,2024-02-08,APROBADO,88.59,
261,350,2,2024-02-02,REPROBADO,21.72,
262,351,31,2024-02-12,REPROBADO,52.73,
263,354,4,2024-02-06,REPROBADO,63.81,
264,357,80,2024-02-09,APROBADO,74.49,
265,361,53,2024-02-05,RETIRADO,,2024-03-28
266,363,70,2024-02-07,APROBADO,91.88,
267,364,56,2024-02-05,RETIRADO,,2024-02-25
268,365,52,2024-02-06,APROBADO,81.62,
269,367,4,2024-02-03,RETIRADO,,2024-04-02
270,368,75,2024-02-10,REPROBADO,41.05,
271,369,18,2024-02-11,REPROBADO,45.38,
272,370,22,2024-02-06,APROBADO,75.89,
273,371,59,2024-02-07,REPROBADO,32.15,
274,373,47,2024-02-07,APROBADO,87.99,
275,374,4,2024-02-02,RETIRADO,,2024-04-13
276,376,29,2024-02-10,APROBADO,70.47,
277,377,47,2024-02-09,APROBADO,92.05,
278,379,12,2024-02-05,APROBADO,91.79,
279,380,31,2024-02-05,APROBADO,86.83,
280,381,50,2024-02-06,APROBADO,77.68,
281,383,26,2024-02-03,REPROBADO,43.41,
282,384,12,2024-02-07,APROBADO,73.56,
283,385,26,2024-02-02,APROBADO,94.34,
284,386,76,2024-02-07,RETIRADO,,2024-04-12
285,387,52,2024-02-10,APROBADO,72.78,
286,392,69,2024-02-04,APROBADO,91.83,
287,394,70,2024-02-11,REPROBADO,43.42,
288,395,58,2024-02-02,APROBADO,81.53,
289,396,52,2024-02-03,REPROBADO,26.77,
290,398,67,2024-02-08,APROBADO,78.86,
291,399,48,2024-02-05,APROBADO,75.4,
292,402,33,2024-02-06,REPROBADO,41.25,
293,407,78,2024-02-03,REPROBADO,59.63,
294,409,21,2024-02-08,APROBADO,94.89,
295,415,49,2024-02-12,REPROBADO,38.98,
296,416,21,2024-02-04,APROBADO,76.58,
297,420,30,2024-02-08,REPROBADO,41.68,
298,421,50,2024-02-11,APROBADO,70.55,
299,422,38,2024-02-12,APROBADO,87.99,
300,423,69,2024-02-09,APROBADO,80.34,
301,425,23,2024-02-12,APROBADO,72.56,
302,426,65,2024-02-10,RETIRADO,,2024-04-12
303,427,79,2024-02-11,APROBADO,92.52,
304,429,33,2024-02-09,RETIRADO,,2024-03-29
305,430,13,2024-02-11,APROBADO,85.72,
306,431,80,2024-02-08,RETIRADO,,2024-03-09
307,432,54,2024-02-05,RETIRADO,,2024-03-07
308,433,57,2024-02-05,RETIRADO,,2024-03-08
309,434,54,2024-02-09,REPROBADO,42.94,
310,435,67,2024-02-03,APROBADO,77.84,
311,437,47,2024-02-02,APROBADO,82.78,
312,438,65,2024-02-03,APROBADO,79.39,
313,440,79,2024-02-09,REPROBADO,22.93,
314,441,17,2024-02-03,APROBADO,74.12,
315,442,52,2024-02-06,RETIRADO,,2024-02-25
316,443,69,2024-02-06,RETIRADO,,2024-04-20
317,447,39,2024-02-12,RETIRADO,,2024-02-23
318,449,70,2024-02-04,APROBADO,91.11,
319,451,23,2024-02-07,APROBADO,87.2,
320,452,4,2024-02-06,RETIRADO,,2024-03-22
321,453,58,2024-02-04,APROBADO,84.1,
322,454,26,2024-02-09,APROBADO,71.58,
323,456,43,2024-02-04,REPROBADO,26.86,
324,458,20,2024-02-02,APROBADO,78.11,
325,459,49,2024-02-09,REPROBADO,21.9,
326,460,40,2024-02-04,REPROBADO,33.08,
327,461,65,2024-02-06,REPROBADO,57.08,
328,462,75,2024-02-10,REPROBADO,46.3,
329,464,13,2024-02-02,APROBADO,72.65,
330,465,21,2024-02-11,APROBADO,89.43,
331,466,45,2024-02-04,APROBADO,74.61,
332,468,47,2024-02-05,APROBADO,70.87,
333,469,52,2024-02-03,RETIRADO,,2024-04-14
334,470,74,2024-02-10,APROBADO,95.1,
335,471,9,2024-02-07,APROBADO,88.06,
336,473,61,2024-02-12,APROBADO,92.02,
337,474,16,2024-02-10,APROBADO,93.34,
338,475,39,2024-02-08,APROBADO,92.92,
339,476,76,2024-02-03,APROBADO,98.31,
340,477,47,2024-02-10,APROBADO,84.17,
341,478,66,2024-02-09,APROBADO,97.0,
342,479,33,2024-02-04,APROBADO,86.28,
343,480,40,2024-02-06,RETIRADO,,2024-03-16
344,481,61,2024-02-06,APROBADO,74.74,
345,482,14,2024-02-02,APROBADO,88.05,
346,483,20,2024-02-10,APROBADO,89.47,
347,488,30,2024-02-09,APROBADO,87.47,
348,489,75,2024-02-05,REPROBADO,45.11,
349,491,40,2024-02-04,REPROBADO,68.92,
350,494,62,2024-02-08,APROBADO,86.84,
351,497,68,2024-02-09,REPROBADO,43.8,
352,498,40,2024-02-11,APROBADO,70.14,
353,500,79,2024-02-10,REPROBADO,53.25,
354,501,7,2024-02-10,APROBADO,95.92,
355,502,50,2024-02-11,APROBADO,81.28,
356,504,66,2024-02-07,APROBADO,76.36,
357,505,38,2024-02-06,REPROBADO,31.02,
358,506,49,2024-02-10,APROBADO,88.65,
359,507,31,2024-02-05,REPROBADO,31.98,
360,508,57,2024-02-07,RETIRADO,,2024-03-08
361,509,29,2024-02-02,APROBADO,86.74,
362,511,14,2024-02-09,REPROBADO,28.22,
363,512,74,2024-02-08,APROBADO,71.7,
364,514,76,2024-02-03,APROBADO,78.68,
365,516,30,2024-02-09,APROBADO,99.45,
366,517,58,2024-02-05,REPROBADO,65.61,
367,521,20,2024-02-08,APROBADO,93.26,
368,522,70,2024-02-04,REPROBADO,59.28,
369,523,58,2024-02-05,APROBADO,85.29,
370,525,76,2024-02-07,APROBADO,97.04,
371,529,29,2024-02-02,APROBADO,82.44,
372,530,67,2024-02-11,RETIRADO,,2024-04-08
373,531,11,2024-02-07,REPROBADO,51.03,
374,537,31,2024-02-03,RETIRADO,,2024-03-31
375,538,50,2024-02-02,REPROBADO,24.46,
376,539,69,2024-02-06,REPROBADO,39.86,
377,540,11,2024-02-07,REPROBADO,46.11,
378,541,13,2024-02-10,APROBADO,70.64,
379,542,40,2024-02-06,REPROBADO,48.75,
380,544,74,2024-02-03,APROBADO,78.11,
381,547,9,2024-02-03,APROBADO,85.38,
382,549,67,2024-02-08,REPROBADO,23.98,
383,550,31,2024-02-09,APROBADO,90.88,
384,551,38,2024-02-04,RETIRADO,,2024-04-17
385,552,47,2024-02-02,APROBADO,82.97,
386,553,29,2024-02-12,REPROBADO,35.62,
387,554,16,2024-02-05,APROBADO,80.23,
388,555,79,2024-02-11,APROBADO,85.97,
389,557,9,2024-02-10,APROBADO,83.93,
390,558,57,2024-02-09,APROBADO,76.92,
391,559,48,2024-02-10,RETIRADO,,2024-03-24
392,560,25,2024-02-07,APROBADO,73.33,
393,562,74,2024-02-05,APROBADO,96.58,
394,564,20,2024-02-02,APROBADO,80.01,
395,566,47,2024-02-08,REPROBADO,26.64,
396,567,13,2024-02-05,APROBADO,97.29,
397,568,59,2024-02-03,APROBADO,96.11,
398,569,75,2024-02-05,APROBADO,81.53,
399,570,2,2024-02-04,APROBADO,76.14,
400,571,38,2024-02-08,RETIRADO,,2024-04-05
401,572,59,2024-02-03,REPROBADO,38.07,
402,573,69,2024-02-02,REPROBADO,59.08,
403,574,39,2024-02-07,REPROBADO,29.59,
404,575,26,2024-02-05,REPROBADO,35.6,
405,579,30,2024-02-08,APROBADO,80.12,
406,580,8,2024-02-08,APROBADO,78.63,
407,581,48,2024-02-12,APROBADO,74.92,
408,582,7,2024-02-05,APROBADO,72.39,
409,583,67,2024-02-10,APROBADO,72.93,
410,584,75,2024-02-08,APROBADO,77.48,
411,586,65,2024-02-04,REPROBADO,23.85,
412,588,2,2024-02-05,APROBADO,99.14,
413,590,33,2024-02-11,RETIRADO,,2024-03-02
414,591,38,2024-02-04,REPROBADO,40.07,
415,592,2,2024-02-06,APROBADO,81.14,
416,595,4,2024-02-10,APROBADO,81.63,
417,598,42,2024-02-03,APROBADO,86.83,
418,599,21,2024-02-08,REPROBADO,32.15,
419,601,50,2024-02-10,APROBADO,95.04,
420,602,57,2024-02-06,REPROBADO,61.18,
421,603,78,2024-02-09,REPROBADO,41.2,
422,604,11,2024-02-10,APROBADO,76.16,
423,605,30,2024-02-08,APROBADO,70.31,
424,606,20,2024-02-04,APROBADO,72.43,
425,609,38,2024-02-11,APROBADO,97.85,
426,610,5,2024-02-10,RETIRADO,,2024-03-05
427,611,22,2024-02-06,REPROBADO,53.33,
428,613,44,2024-02-11,APROBADO,83.75,
429,614,13,2024-02-04,APROBADO,76.69,
430,615,76,2024-02-10,APROBADO,93.56,
431,616,2,2024-02-03,APROBADO,82.03,
432,619,5,2024-02-03,REPROBADO,58.5,
433,620,38,2024-02-03,APROBADO,81.73,
434,622,7,2024-02-03,REPROBADO,68.99,
435,623,20,2024-02-10,APROBADO,75.1,
436,624,34,2024-02-04,REPROBADO,61.88,
437,626,23,2024-02-03,REPROBADO,35.68,
438,627,30,2024-02-03,APROBADO,73.08,
439,632,48,2024-02-11,APROBADO,70.58,
440,633,65,2024-02-03,APROBADO,92.87,
441,634,58,2024-02-06,REPROBADO,30.94,
442,635,16,2024-02-11,REPROBADO,67.57,
443,638,80,2024-02-10,APROBADO,73.88,
444,639,39,2024-02-04,APROBADO,79.25,
445,640,13,2024-02-08,APROBADO,78.17,
446,641,14,2024-02-11,APROBADO,73.31,
447,643,43,2024-02-05,APROBADO,83.17,
448,644,21,2024-02-05,APROBADO,73.81,
449,649,38,2024-02-10,REPROBADO,59.81,
450,650,58,2024-02-09,APROBADO,73.54,
451,651,22,2024-02-11,REPROBADO,35.17,
452,652,9,2024-02-10,APROBADO,77.62,
453,655,58,2024-02-04,APROBADO,82.28,
454,656,25,2024-02-04,RETIRADO,,2024-04-15
455,657,4,2024-02-05,APROBADO,73.67,
456,658,12,2024-02-06,APROBADO,94.86,
457,659,25,2024-02-04,RETIRADO,,2024-04-14
458,660,49,2024-02-10,REPROBADO,57.86,
459,663,58,2024-02-12,APROBADO,95.07,
460,664,40,2024-02-08,RETIRADO,,2024-04-07
461,666,74,2024-02-09,APROBADO,81.2,
462,667,2,2024-02-10,RETIRADO,,2024-04-06
463,673,12,2024-02-07,REPROBADO,67.57,
464,674,38,2024-02-03,APROBADO,96.17,
465,677,17,2024-02-07,REPROBADO,28.31,
466,678,48,2024-02-10,REPROBADO,68.54,
467,679,29,2024-02-05,APROBADO,72.29,
468,680,5,2024-02-03,REPROBADO,22.71,
469,681,38,2024-02-03,RETIRADO,,2024-03-18
470,682,77,2024-02-05,REPROBADO,61.75,
471,683,31,2024-02-02,APROBADO,79.65,
472,686,3,2024-02-06,APROBADO,96.26,
473,687,48,2024-02-06,REPROBADO,34.01,
474,688,80,2024-02-05,APROBADO,77.77,
475,690,2,2024-02-08,RETIRADO,,2024-04-07
476,691,76,2024-02-07,APROBADO,88.72,
477,693,9,2024-02-08,APROBADO,97.16,
478,695,22,2024-02-11,APROBADO,89.99,
479,698,27,2024-02-08,REPROBADO,33.96,
480,701,22,2024-02-05,REPROBADO,59.88,
481,705,13,2024-02-11,APROBADO,97.06,
482,706,79,2024-02-07,APROBADO,71.28,
483,707,7,2024-02-10,RETIRADO,,2024-03-02
484,708,29,2024-02-06,RETIRADO,,2024-03-23
485,710,50,2024-02-02,REPROBADO,24.46,
486,711,3,2024-02-05,REPROBADO,69.54,
487,712,74,2024-02-04,REPROBADO,40.43,
488,713,65,2024-02-11,APROBADO,92.73,
489,722,49,2024-02-04,APROBADO,80.08,
490,725,74,2024-02-04,APROBADO,71.1,
491,726,58,2024-02-11,RETIRADO,,2024-03-12
492,727,54,2024-02-03,APROBADO,80.86,
493,728,8,2024-02-12,REPROBADO,21.33,
494,729,22,2024-02-09,RETIRADO,,2024-04-11
495,732,77,2024-02-04,REPROBADO,30.63,
496,733,22,2024-02-09,APROBADO,78.45,
497,737,57,2024-02-09,APROBADO,74.27,
498,739,23,2024-02-08,APROBADO,82.76,
499,740,4,2024-02-08,APROBADO,95.1,
500,742,7,2024-02-06,REPROBADO,22.88,
501,744,77,2024-02-06,APROBADO,88.55,
502,746,74,2024-02-11,APROBADO,80.59,
503,749,61,2024-02-09,APROBADO,98.98,
504,752,31,2024-02-04,APROBADO,92.23,
505,754,32,2024-02-11,REPROBADO,28.28,
506,755,12,2024-02-08,APROBADO,89.51,
507,758,70,2024-02-05,APROBADO,80.46,
508,759,75,2024-02-08,APROBADO,90.21,
509,765,75,2024-02-11,REPROBADO,54.27,
510,767,65,2024-02-09,RETIRADO,,2024-04-06
511,768,40,2024-02-06,RETIRADO,,2024-03-24
512,770,40,2024-02-06,REPROBADO,49.18,
513,772,5,2024-02-04,APROBADO,76.41,
514,775,16,2024-02-09,REPROBADO,55.78,
515,776,45,2024-02-12,APROBADO,92.19,
516,778,21,2024-02-04,RETIRADO,,2024-04-04
517,780,2,2024-02-06,APROBADO,71.5,
518,783,14,2024-02-12,APROBADO,87.54,
519,787,22,2024-02-07,APROBADO,79.32,
520,794,32,2024-02-10,APROBADO,95.29,
521,796,23,2024-02-11,APROBADO,78.1,
522,797,36,2024-02-02,APROBADO,93.29,
523,798,40,2024-02-12,RETIRADO,,2024-04-02
524,804,65,2024-02-05,APROBADO,92.78,
525,807,60,2024-02-02,APROBADO,99.17,
526,808,38,2024-02-08,APROBADO,71.05,
527,813,76,2024-02-09,REPROBADO,54.31,
528,814,53,2024-02-11,APROBADO,72.39,
529,815,29,2024-02-08,RETIRADO,,2024-04-12
530,818,52,2024-02-08,APROBADO,88.67,
531,820,59,2024-02-04,APROBADO,74.29,
532,821,9,2024-02-09,APROBADO,95.01,
533,828,76,2024-02-11,REPROBADO,68.96,
534,830,76,2024-02-03,APROBADO,75.43,
535,831,57,2024-02-03,APROBADO,86.3,
536,832,40,2024-02-07,APROBADO,70.08,
537,833,2,2024-02-04,REPROBADO,63.46,
538,834,14,2024-02-02,REPROBADO,53.81,
539,836,68,2024-02-05,APROBADO,74.39,
540,838,75,2024-02-04,APROBADO,88.05,
541,839,31,2024-02-03,APROBADO,99.58,
542,841,70,2024-02-11,REPROBADO,68.17,
543,844,44,2024-02-02,APROBADO,99.23,
544,846,47,2024-02-09,REPROBADO,50.1,
545,847,13,2024-02-03,REPROBADO,41.92,
546,848,70,2024-02-09,RETIRADO,,2024-04-07
547,849,24,2024-02-03,APROBADO,94.97,
548,854,69,2024-02-04,APROBADO,98.93,
549,855,3,2024-02-11,APROBADO,91.92,
550,856,26,2024-02-11,REPROBADO,63.03,
551,861,31,2024-02-07,APROBADO,73.28,
552,864,62,2024-02-11,REPROBADO,40.74,
553,867,59,2024-02-08,REPROBADO,53.66,
554,869,13,2024-02-12,RETIRADO,,2024-02-26
555,870,25,2024-02-04,RETIRADO,,2024-02-21
556,871,38,2024-02-07,APROBADO,72.28,
557,872,58,2024-02-12,RETIRADO,,2024-04-15
558,875,13,2024-02-07,RETIRADO,,2024-03-19
559,876,31,2024-02-04,APROBADO,74.29,
560,878,31,2024-02-11,APROBADO,86.73,
561,879,5,2024-02-11,APROBADO,87.8,
