id_estudiante,id_periodo,id_carrera,cohorte
150,1,3,2024-1
151,1,1,2024-1
152,1,2,2024-1
153,1,3,2024-1
154,1,1,2024-1
155,1,2,2024-1
156,1,3,2024-1
157,1,1,2024-1
158,1,2,2024-1
159,1,3,2024-1
160,1,1,2024-1
161,1,2,2024-1
162,1,3,2024-1
163,1,1,2024-1
164,1,2,2024-1
165,1,3,2024-1
166,1,1,2024-1
167,1,2,2024-1
168,1,3,2024-1
169,1,1,2024-1
170,1,2,2024-1
171,1,3,2024-1
172,1,1,2024-1
173,1,2,2024-1
174,1,3,2024-1
175,1,1,2024-1
176,1,2,2024-1
177,1,3,2024-1
178,1,1,2024-1
179,1,2,2024-1
180,1,3,2024-1
181,1,1,2024-1
182,1,2,2024-1
183,1,3,2024-1
184,1,1,2024-1
185,1,2,2024-1
186,1,3,2024-1
187,1,1,2024-1
188,1,2,2024-1
189,1,3,2024-1
190,1,1,2024-1
191,1,2,2024-1
192,1,3,2024-1
193,1,1,2024-1
194,1,2,2024-1
195,1,3,2024-1
196,1,1,2024-1
197,1,2,2024-1
198,1,3,2024-1
199,1,1,2024-1
200,1,2,2024-1
201,1,3,2024-1
202,1,1,2024-1
203,1,2,2024-1
204,1,3,2024-1
205,1,1,2024-1
206,1,2,2024-1
207,1,3,2024-1
208,1,1,2024-1
209,1,2,2024-1
210,1,3,2024-1
211,1,1,2024-1
212,1,2,2024-1
213,1,3,2024-1
214,1,1,2024-1
215,1,2,2024-1
216,1,3,2024-1
217,1,1,2024-1
218,1,2,2024-1
219,1,3,2024-1
220,1,1,2024-1
221,1,2,2024-1
222,1,3,2024-1
223,1,1,2024-1
224,1,2,2024-1
225,1,3,2024-1
226,1,1,2024-1
227,1,2,2024-1
228,1,3,2024-1
229,1,1,2024-1
230,1,2,2024-1
231,1,3,2024-1
232,1,1,2024-1
233,1,2,2024-1
234,1,3,2024-1
235,1,1,2024-1
236,1,2,2024-1
237,1,3,2024-1
238,1,1,2024-1
239,1,2,2024-1
240,1,3,2024-1
1,2,1,2023-1
2,2,2,2023-1
3,2,3,2023-1
4,2,1,2023-1
5,2,2,2023-1
6,2,3,2023-1
7,2,1,2023-1
8,2,2,2023-1
9,2,3,2023-1
10,2,1,2023-1
11,2,2,2023-1
12,2,3,2023-1
13,2,1,2023-1
14,2,2,2023-1
15,2,3,2023-1
16,2,1,2023-1
17,2,2,2023-1
18,2,3,2023-1
19,2,1,2023-1
20,2,2,2023-1
21,2,3,2023-1
22,2,1,2023-1
23,2,2,2023-1
24,2,3,2023-1
25,2,1,2023-1
26,2,2,2023-1
27,2,3,2023-1
28,2,1,2023-1
29,2,2,2023-1
30,2,3,2023-1
31,2,1,2023-1
32,2,2,2023-1
33,2,3,2023-1
34,2,1,2023-1
35,2,2,2023-1
36,2,3,2023-1
37,2,1,2023-1
38,2,2,2023-1
39,2,3,2023-1
40,2,1,2023-1
41,2,2,2023-1
42,2,3,2023-1
43,2,1,2023-1
44,2,2,2023-1
45,2,3,2023-1
46,2,1,2023-1
47,2,2,2023-1
48,2,3,2023-1
49,2,1,2023-1
50,2,2,2023-1
51,2,3,2023-1
52,2,1,2023-1
53,2,2,2023-1
54,2,3,2023-1
55,2,1,2023-1
56,2,2,2023-1
57,2,3,2023-1
58,2,1,2023-1
59,2,2,2023-1
60,2,3,2023-1
61,2,1,2023-1
62,2,2,2023-1
63,2,3,2023-1
64,2,1,2023-1
65,2,2,2023-1
66,2,3,2023-1
67,2,1,2023-1
68,2,2,2023-1
69,2,3,2023-1
70,2,1,2023-1
71,2,2,2023-1
72,2,3,2023-1
73,2,1,2023-1
74,2,2,2023-1
75,2,3,2023-1
76,2,1,2023-1
77,2,2,2023-1
78,2,3,2023-1
79,2,1,2023-1
80,2,2,2023-1
81,2,3,2023-1
82,2,1,2023-1
83,2,2,2023-1
84,2,3,2023-1
85,2,1,2023-1
86,2,2,2023-1
87,2,3,2023-1
88,2,1,2023-1
89,2,2,2023-1
90,2,3,2023-1
91,2,1,2023-1
92,2,2,2023-1
93,2,3,2023-1
94,2,1,2023-1
95,2,2,2023-1
96,2,3,2023-1
97,2,1,2023-1
98,2,2,2023-1
99,2,3,2023-1
100,2,1,2023-1
101,2,2,2023-1
102,2,3,2023-1
103,2,1,2023-1
104,2,2,2023-1
105,2,3,2023-1
106,2,1,2023-1
107,2,2,2023-1
108,2,3,2023-1
109,2,1,2023-1
110,2,2,2023-1
111,2,3,2023-1
112,2,1,2023-1
113,2,2,2023-1
114,2,3,2023-1
115,2,1,2023-1
116,2,2,2023-1
117,2,3,2023-1
118,2,1,2023-1
119,2,2,2023-1
120,2,3,2023-1
121,2,1,2024-1
122,2,2,2024-1
123,2,3,2024-1
124,2,1,2024-1
125,2,2,2024-1
126,2,3,2024-1
127,2,1,2024-1
128,2,2,2024-1
129,2,3,2024-1
130,2,1,2024-1
131,2,2,2024-1
132,2,3,2024-1
133,2,1,2024-1
134,2,2,2024-1
135,2,3,2024-1
136,2,1,2024-1
137,2,2,2024-1
138,2,3,2024-1
139,2,1,2024-1
140,2,2,2024-1
141,2,3,2024-1
142,2,1,2024-1
143,2,2,2024-1
144,2,3,2024-1
145,2,1,2024-1
146,2,2,2024-1
147,2,3,2024-1
148,2,1,2024-1
149,2,2,2024-1
150,2,3,2024-1
151,2,1,2024-1
152,2,2,2024-1
153,2,3,2024-1
154,2,1,2024-1
155,2,2,2024-1
156,2,3,2024-1
157,2,1,2024-1
158,2,2,2024-1
159,2,3,2024-1
160,2,1,2024-1
161,2,2,2024-1
162,2,3,2024-1
163,2,1,2024-1
164,2,2,2024-1
165,2,3,2024-1
166,2,1,2024-1
167,2,2,2024-1
168,2,3,2024-1
169,2,1,2024-1
170,2,2,2024-1
171,2,3,2024-1
172,2,1,2024-1
173,2,2,2024-1
174,2,3,2024-1
175,2,1,2024-1
176,2,2,2024-1
177,2,3,2024-1
178,2,1,2024-1
179,2,2,2024-1
180,2,3,2024-1
181,2,1,2024-1
182,2,2,2024-1
183,2,3,2024-1
184,2,1,2024-1
185,2,2,2024-1
186,2,3,2024-1
187,2,1,2024-1
188,2,2,2024-1
189,2,3,2024-1
190,2,1,2024-1
191,2,2,2024-1
192,2,3,2024-1
193,2,1,2024-1
194,2,2,2024-1
195,2,3,2024-1
196,2,1,2024-1
197,2,2,2024-1
198,2,3,2024-1
199,2,1,2024-1
200,2,2,2024-1
201,2,3,2024-1
202,2,1,2024-1
203,2,2,2024-1
204,2,3,2024-1
205,2,1,2024-1
206,2,2,2024-1
207,2,3,2024-1
208,2,1,2024-1
209,2,2,2024-1
210,2,3,2024-1
211,2,1,2024-1
212,2,2,2024-1
213,2,3,2024-1
214,2,1,2024-1
215,2,2,2024-1
216,2,3,2024-1
217,2,1,2024-1
218,2,2,2024-1
219,2,3,2024-1
220,2,1,2024-1
221,2,2,2024-1
222,2,3,2024-1
223,2,1,2024-1
224,2,2,2024-1
225,2,3,2024-1
226,2,1,2024-1
227,2,2,2024-1
228,2,3,2024-1
229,2,1,2024-1
230,2,2,2024-1
231,2,3,2024-1
232,2,1,2024-1
233,2,2,2024-1
234,2,3,2024-1
235,2,1,2024-1
236,2,2,2024-1
237,2,3,2024-1
238,2,1,2024-1
239,2,2,2024-1
240,2,3,2024-1
1,3,1,2023-1
2,3,2,2023-1
3,3,3,2023-1
4,3,1,2023-1
5,3,2,2023-1
6,3,3,2023-1
7,3,1,2023-1
8,3,2,2023-1
9,3,3,2023-1
10,3,1,2023-1
11,3,2,2023-1
12,3,3,2023-1
13,3,1,2023-1
14,3,2,2023-1
15,3,3,2023-1
16,3,1,2023-1
17,3,2,2023-1
18,3,3,2023-1
19,3,1,2023-1
20,3,2,2023-1
21,3,3,2023-1
22,3,1,2023-1
23,3,2,2023-1
24,3,3,2023-1
25,3,1,2023-1
26,3,2,2023-1
27,3,3,2023-1
28,3,1,2023-1
29,3,2,2023-1
30,3,3,2023-1
31,3,1,2023-1
32,3,2,2023-1
33,3,3,2023-1
34,3,1,2023-1
35,3,2,2023-1
36,3,3,2023-1
37,3,1,2023-1
38,3,2,2023-1
39,3,3,2023-1
40,3,1,2023-1
41,3,2,2023-1
42,3,3,2023-1
43,3,1,2023-1
44,3,2,2023-1
45,3,3,2023-1
46,3,1,2023-1
47,3,2,2023-1
48,3,3,2023-1
49,3,1,2023-1
50,3,2,2023-1
51,3,3,2023-1
52,3,1,2023-1
53,3,2,2023-1
54,3,3,2023-1
55,3,1,2023-1
56,3,2,2023-1
57,3,3,2023-1
58,3,1,2023-1
59,3,2,2023-1
60,3,3,2023-1
61,3,1,2023-1
62,3,2,2023-1
63,3,3,2023-1
64,3,1,2023-1
65,3,2,2023-1
66,3,3,2023-1
67,3,1,2023-1
68,3,2,2023-1
69,3,3,2023-1
70,3,1,2023-1
71,3,2,2023-1
72,3,3,2023-1
73,3,1,2023-1
74,3,2,2023-1
75,3,3,2023-1
76,3,1,2023-1
77,3,2,2023-1
78,3,3,2023-1
79,3,1,2023-1
80,3,2,2023-1
81,3,3,2023-1
82,3,1,2023-1
83,3,2,2023-1
84,3,3,2023-1
85,3,1,2023-1
86,3,2,2023-1
87,3,3,2023-1
88,3,1,2023-1
89,3,2,2023-1
90,3,3,2023-1
91,3,1,2023-1
92,3,2,2023-1
93,3,3,2023-1
94,3,1,2023-1
95,3,2,2023-1
96,3,3,2023-1
97,3,1,2023-1
98,3,2,2023-1
99,3,3,2023-1
100,3,1,2023-1
101,3,2,2023-1
102,3,3,2023-1
103,3,1,2023-1
104,3,2,2023-1
105,3,3,2023-1
106,3,1,2023-1
107,3,2,2023-1
108,3,3,2023-1
109,3,1,2023-1
110,3,2,2023-1
111,3,3,2023-1
112,3,1,2023-1
113,3,2,2023-1
114,3,3,2023-1
115,3,1,2023-1
116,3,2,2023-1
117,3,3,2023-1
118,3,1,2023-1
119,3,2,2023-1
120,3,3,2023-1
121,3,1,2024-1
122,3,2,2024-1
123,3,3,2024-1
124,3,1,2024-1
125,3,2,2024-1
126,3,3,2024-1
127,3,1,2024-1
128,3,2,2024-1
129,3,3,2024-1
130,3,1,2024-1
131,3,2,2024-1
132,3,3,2024-1
133,3,1,2024-1
134,3,2,2024-1
135,3,3,2024-1
136,3,1,2024-1
137,3,2,2024-1
138,3,3,2024-1
139,3,1,2024-1
140,3,2,2024-1
141,3,3,2024-1
142,3,1,2024-1
143,3,2,2024-1
144,3,3,2024-1
145,3,1,2024-1
146,3,2,2024-1
147,3,3,2024-1
148,3,1,2024-1
149,3,2,2024-1
150,3,3,2024-1
151,3,1,2024-1
152,3,2,2024-1
153,3,3,2024-1
154,3,1,2024-1
155,3,2,2024-1
156,3,3,2024-1
157,3,1,2024-1
158,3,2,2024-1
159,3,3,2024-1
160,3,1,2024-1
161,3,2,2024-1
162,3,3,2024-1
163,3,1,2024-1
164,3,2,2024-1
165,3,3,2024-1
166,3,1,2024-1
167,3,2,2024-1
168,3,3,2024-1
169,3,1,2024-1
170,3,2,2024-1
171,3,3,2024-1
172,3,1,2024-1
173,3,2,2024-1
174,3,3,2024-1
175,3,1,2024-1
176,3,2,2024-1
177,3,3,2024-1
178,3,1,2024-1
179,3,2,2024-1
180,3,3,2024-1
181,3,1,2024-1
182,3,2,2024-1
183,3,3,2024-1
184,3,1,2024-1
185,3,2,2024-1
186,3,3,2024-1
187,3,1,2024-1
188,3,2,2024-1
189,3,3,2024-1
190,3,1,2024-1
191,3,2,2024-1
192,3,3,2024-1
193,3,1,2024-1
194,3,2,2024-1
195,3,3,2024-1
196,3,1,2024-1
197,3,2,2024-1
198,3,3,2024-1
199,3,1,2024-1
200,3,2,2024-1
201,3,3,2024-1
202,3,1,2024-1
203,3,2,2024-1
204,3,3,2024-1
205,3,1,2024-1
206,3,2,2024-1
207,3,3,2024-1
208,3,1,2024-1
209,3,2,2024-1
210,3,3,2024-1
211,3,1,2024-1
212,3,2,2024-1
213,3,3,2024-1
214,3,1,2024-1
215,3,2,2024-1
216,3,3,2024-1
217,3,1,2024-1
218,3,2,2024-1
219,3,3,2024-1
220,3,1,2024-1
221,3,2,2024-1
222,3,3,2024-1
223,3,1,2024-1
224,3,2,2024-1
225,3,3,2024-1
226,3,1,2024-1
227,3,2,2024-1
228,3,3,2024-1
229,3,1,2024-1
230,3,2,2024-1
231,3,3,2024-1
232,3,1,2024-1
233,3,2,2024-1
234,3,3,2024-1
235,3,1,2024-1
236,3,2,2024-1
237,3,3,2024-1
238,3,1,2024-1
239,3,2,2024-1
240,3,3,2024-1
1,4,1,2023-1
2,4,2,2023-1
3,4,3,2023-1
4,4,1,2023-1
5,4,2,2023-1
6,4,3,2023-1
7,4,1,2023-1
8,4,2,2023-1
9,4,3,2023-1
10,4,1,2023-1
11,4,2,2023-1
12,4,3,2023-1
13,4,1,2023-1
14,4,2,2023-1
15,4,3,2023-1
16,4,1,2023-1
17,4,2,2023-1
18,4,3,2023-1
19,4,1,2023-1
20,4,2,2023-1
21,4,3,2023-1
22,4,1,2023-1
23,4,2,2023-1
24,4,3,2023-1
25,4,1,2023-1
26,4,2,2023-1
27,4,3,2023-1
28,4,1,2023-1
29,4,2,2023-1
30,4,3,2023-1
31,4,1,2023-1
32,4,2,2023-1
33,4,3,2023-1
34,4,1,2023-1
35,4,2,2023-1
36,4,3,2023-1
37,4,1,2023-1
38,4,2,2023-1
39,4,3,2023-1
40,4,1,2023-1
41,4,2,2023-1
42,4,3,2023-1
43,4,1,2023-1
44,4,2,2023-1
45,4,3,2023-1
46,4,1,2023-1
47,4,2,2023-1
48,4,3,2023-1
49,4,1,2023-1
50,4,2,2023-1
51,4,3,2023-1
52,4,1,2023-1
53,4,2,2023-1
54,4,3,2023-1
55,4,1,2023-1
56,4,2,2023-1
57,4,3,2023-1
58,4,1,2023-1
59,4,2,2023-1
60,4,3,2023-1
61,4,1,2023-1
62,4,2,2023-1
63,4,3,2023-1
64,4,1,2023-1
65,4,2,2023-1
66,4,3,2023-1
67,4,1,2023-1
68,4,2,2023-1
69,4,3,2023-1
70,4,1,2023-1
71,4,2,2023-1
72,4,3,2023-1
73,4,1,2023-1
74,4,2,2023-1
75,4,3,2023-1
76,4,1,2023-1
77,4,2,2023-1
78,4,3,2023-1
79,4,1,2023-1
80,4,2,2023-1
81,4,3,2023-1
82,4,1,2023-1
83,4,2,2023-1
84,4,3,2023-1
85,4,1,2023-1
86,4,2,2023-1
87,4,3,2023-1
88,4,1,2023-1
89,4,2,2023-1
90,4,3,2023-1
91,4,1,2023-1
92,4,2,2023-1
93,4,3,2023-1
94,4,1,2023-1
95,4,2,2023-1
96,4,3,2023-1
97,4,1,2023-1
98,4,2,2023-1
99,4,3,2023-1
100,4,1,2023-1
101,4,2,2023-1
102,4,3,2023-1
103,4,1,2023-1
104,4,2,2023-1
105,4,3,2023-1
106,4,1,2023-1
107,4,2,2023-1
108,4,3,2023-1
109,4,1,2023-1
110,4,2,2023-1
111,4,3,2023-1
112,4,1,2023-1
113,4,2,2023-1
114,4,3,2023-1
115,4,1,2023-1
116,4,2,2023-1
117,4,3,2023-1
118,4,1,2023-1
119,4,2,2023-1
120,4,3,2023-1
121,4,1,2024-1
122,4,2,2024-1
123,4,3,2024-1
124,4,1,2024-1
125,4,2,2024-1
126,4,3,2024-1
127,4,1,2024-1
128,4,2,2024-1
129,4,3,2024-1
130,4,1,2024-1
131,4,2,2024-1
132,4,3,2024-1
133,4,1,2024-1
134,4,2,2024-1
135,4,3,2024-1
136,4,1,2024-1
137,4,2,2024-1
138,4,3,2024-1
139,4,1,2024-1
140,4,2,2024-1
141,4,3,2024-1
142,4,1,2024-1
143,4,2,2024-1
144,4,3,2024-1
145,4,1,2024-1
146,4,2,2024-1
147,4,3,2024-1
148,4,1,2024-1
149,4,2,2024-1
150,4,3,2024-1
151,4,1,2024-1
152,4,2,2024-1
153,4,3,2024-1
154,4,1,2024-1
155,4,2,2024-1
156,4,3,2024-1
157,4,1,2024-1
158,4,2,2024-1
159,4,3,2024-1
160,4,1,2024-1
161,4,2,2024-1
162,4,3,2024-1
163,4,1,2024-1
164,4,2,2024-1
165,4,3,2024-1
166,4,1,2024-1
167,4,2,2024-1
168,4,3,2024-1
169,4,1,2024-1
170,4,2,2024-1
171,4,3,2024-1
172,4,1,2024-1
173,4,2,2024-1
174,4,3,2024-1
175,4,1,2024-1
176,4,2,2024-1
177,4,3,2024-1
178,4,1,2024-1
179,4,2,2024-1
180,4,3,2024-1
181,4,1,2024-1
182,4,2,2024-1
183,4,3,2024-1
184,4,1,2024-1
185,4,2,2024-1
186,4,3,2024-1
187,4,1,2024-1
188,4,2,2024-1
189,4,3,2024-1
190,4,1,2024-1
191,4,2,2024-1
192,4,3,2024-1
193,4,1,2024-1
194,4,2,2024-1
195,4,3,2024-1
196,4,1,2024-1
197,4,2,2024-1
198,4,3,2024-1
199,4,1,2024-1
200,4,2,2024-1
201,4,3,2024-1
202,4,1,2024-1
203,4,2,2024-1
204,4,3,2024-1
205,4,1,2024-1
206,4,2,2024-1
207,4,3,2024-1
208,4,1,2024-1
209,4,2,2024-1
210,4,3,2024-1
211,4,1,2024-1
212,4,2,2024-1
213,4,3,2024-1
214,4,1,2024-1
215,4,2,2024-1
216,4,3,2024-1
217,4,1,2024-1
218,4,2,2024-1
219,4,3,2024-1
220,4,1,2024-1
221,4,2,2024-1
222,4,3,2024-1
223,4,1,2024-1
224,4,2,2024-1
225,4,3,2024-1
226,4,1,2024-1
227,4,2,2024-1
228,4,3,2024-1
229,4,1,2024-1
230,4,2,2024-1
231,4,3,2024-1
232,4,1,2024-1
233,4,2,2024-1
234,4,3,2024-1
235,4,1,2024-1
236,4,2,2024-1
237,4,3,2024-1
238,4,1,2024-1
239,4,2,2024-1
240,4,3,2024-1
